platform,meme_template,search_query,post_id,author_handle,author_display,caption,alt_text,image_url,likes,reposts,replies,created_at,indexed_at,post_url,collection_timestamp
bluesky,this is fine,this is fine meme,at://did:plc:zizy57hl2nqb3zevqen7jzfn/app.bsky.feed.post/3kkhshs2ids2f,lartist.bsky.social,Lar deSouza,"Cartoon: Thank you, Elmo. With credit to @kcg.bsky.social for their original meme that continues to inspire.","A variation of the KC Green ""This is fine"" meme showing Elmo the monster from Sesame Street giving the dog from the meme a comforting hug.",https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:zizy57hl2nqb3zevqen7jzfn/bafkreigpq7bgix5qayzkhjtmzjppwzpxxsx7kb4cxymsrqwl7facsjhlyq@jpeg,1790,495,12,2024-02-02T23:05:08.976Z,2024-02-02T23:02:35.476Z,https://bsky.app/profile/lartist.bsky.social/post/3kkhshs2ids2f,2025-12-20 19:25:38
bluesky,this is fine,this is fine meme,at://did:plc:vtulckfwhlh3ndn4iqfcg3an/app.bsky.feed.post/3klad7pxt7t2b,greenleejw.bsky.social,"Surprised Eel Historian, PhD","Lent begins this week. And if you're a medieval English abbot that means one thing: eel-rents!

At the start of Lent tenants all over England came to pay their yearly rent in eels. Hundreds of thousands of eels.

But how? Why?

Well...it's about sex & availability, you see. 1/7
🧪🗃️","Meme. Painting of a medieval abbot. He's standing and holding a little red book, which is open in his hand. He has a long white beard, and the hair on the side of his head sweeps over his ears like the tide sweeps over a sandbar. He is bald, and there is a fine patina of light on dancing across his head. He is wearing a dark grey robe, with the hood thrown back, and next to him is the staff of his office. Behind is head is a yellow 
halo, so you know he's esp. holy.

He is looking down towards the book, but not actually at it. It looks like he was reading, but got distracted by something on the floor a little in front of him. His expression is calm, so it's not anything wild like a group of rabbits ritualistically sacrificing a sparrow. More like he's seen a piece of cheese, and the abbot can't quite recall when last he had cheese. Later, idly, he'll pick it up and realize that it's lint from his socks.

Meme text reads:
""I'm a medieval monk
Everything's about sex, really""",https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:vtulckfwhlh3ndn4iqfcg3an/bafkreigjxgqjwmvvzmby4tysqhd4t27dfofr6gid52ddisplly4w2h4yyy@jpeg,162,62,9,2024-02-12T17:06:10.635Z,2024-02-12T17:06:10.635Z,https://bsky.app/profile/greenleejw.bsky.social/post/3klad7pxt7t2b,2025-12-20 19:25:38
bluesky,this is fine,this is fine meme,at://did:plc:ywbm3iywnhzep3ckt6efhoh7/app.bsky.feed.post/3kkwfsbphhv2c,katie.bzky.team,"Katie Tightpussy, Editor-In-Chief",not talking about the details of court is mostly fine except for when something extremely funny happens because now i feel like this:,the meme image of a white kid in a classroom who is flexing every muscle in his face so his veins are all popping out and he looks extremely stressed,https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:ywbm3iywnhzep3ckt6efhoh7/bafkreifkukg52krp7umu3ebw5hbxjww2u5yd4avcj4y3oabrvlnafofpju@jpeg,139,3,5,2024-02-08T18:25:43.623Z,2024-02-08T18:25:43.623Z,https://bsky.app/profile/katie.bzky.team/post/3kkwfsbphhv2c,2025-12-20 19:25:38
bluesky,this is fine,this is fine meme,at://did:plc:3qaysq7syvvhvc6jtqku4mdh/app.bsky.feed.post/3ko6pt6xfa42m,assassin-ace.wtf,Adorable Assassin Ace 🏴‍☠️,I was supposed to be asleep but I drifted off for like 3 minutes and I had this dream and I woke up thinking I need to make this and I really don't know why but I mean it's yours now I don't care what the fuck even is it I'm just doing what god tells me at this point,it's the meme of the soldier taking a bunch of weapon hits to the back and on fire shielding the sleeping child but the soldier had has been replaced with the this is fine dog and the sleeping child has been replaced with the sickos guy,https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:3qaysq7syvvhvc6jtqku4mdh/bafkreie6hfvhljm5nipgohrhev5irdaysqwlpdlm4xkcqluqrua77psare@jpeg,224,56,11,2024-03-21T06:02:04.684Z,2024-03-21T06:02:04.684Z,https://bsky.app/profile/assassin-ace.wtf/post/3ko6pt6xfa42m,2025-12-20 19:25:43
bluesky,this is fine,this is fine meme,at://did:plc:mx67f7s4g5gnsrty7m7ral66/app.bsky.feed.post/3kpzok7cues2q,emergencydoc.bsky.social,Emergency doc,"Die Sonne scheint, T-Shirt und Shorts sind wieder angesagt, die ganze Nachbarschaft werkelt fröhlich im Garten, Grillgeruch, gute Laune und summervibes überall.

Wir sehen viel zu selten auch mal auf die guten Seiten der Klimakatastrophe.","Meme: anthropomorpher Hund mit Hut sitzt in einem lichterloh brennenden Raum auf einem Stuhl am Tisch, vor ihm ein Becher. Sprechblase ""This is fine.""",https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:mx67f7s4g5gnsrty7m7ral66/bafkreighc64reetetqofs6zktawqftb75a5rdmvpstrrm5lgdt4lhx2zt4@jpeg,106,16,4,2024-04-13T16:46:13.125Z,2024-04-13T16:46:13.125Z,https://bsky.app/profile/emergencydoc.bsky.social/post/3kpzok7cues2q,2025-12-20 19:25:46
bluesky,this is fine,this is fine meme,at://did:plc:doadobzrb4wly42qqcobwglv/app.bsky.feed.post/3krfn3oewak23,stonkers.bsky.social,Have a Holly Jolly Stonkers,"Even as cops are cracking skulls around the nation, it's May Day, and that's a good reminder that there's power in unity and community","The famous pro union 3-panel banner that reads: 
8 hours for work 
8 hours for rest
8 hours for what we will 

Each panel has been illustrated with the ""this is fine"" meme dog sitting at his table surrounded by flames.",https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:doadobzrb4wly42qqcobwglv/bafkreiaj7i376owk4n22xsgjdihhp24qqux32cyz5bwepu2uijsxq4seh4@jpeg,175,51,4,2024-05-01T04:17:20.769Z,2024-05-01T04:17:20.769Z,https://bsky.app/profile/stonkers.bsky.social/post/3krfn3oewak23,2025-12-20 19:25:48
bluesky,this is fine,this is fine meme,at://did:plc:3ec5rra6xmmfv5hpuerbs5dv/app.bsky.feed.post/3krdxuhsjjk2u,benteliciousart.bsky.social,Bentelicious Art,Literally me,Mein Avatar auf dem Hund aus dem This is fine Meme,https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:3ec5rra6xmmfv5hpuerbs5dv/bafkreif2br2cxs7m6muhxzt4y25petspg7mx4hrumop5m5ic4iomqddcmi@jpeg,246,4,8,2024-04-30T12:24:50.601Z,2024-04-30T12:24:50.601Z,https://bsky.app/profile/benteliciousart.bsky.social/post/3krdxuhsjjk2u,2025-12-20 19:25:48
bluesky,this is fine,this is fine meme,at://did:plc:muhesxre7yfcuqi5ss2fskjc/app.bsky.feed.post/3kvajgmgy3s2u,lukesteuber.com,Luke Snowbrr ☃️,I feel this so hard lol,"A meme featuring the ""This is Fine"" dog character in two different situations.

- **Top section labeled ""Mania"":** 
  - The dog is sitting at a table in a room engulfed in flames. In the first panel, the dog looks around. In the second panel, the dog says, ""THIS IS FINE.""

- **Bottom section labeled ""Depression"":**
  - The dog is sitting at the same table, but now the setting is a beautiful landscape with a rainbow and flowers. In the first panel, the dog looks around. In the second panel, the dog says, ""This is unbearable.""",https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:muhesxre7yfcuqi5ss2fskjc/bafkreigipcyypfct45qr5oquduoasfrooijafpmj5ap7qjoayri6zoo55m@jpeg,151,26,6,2024-06-19T01:09:20.658Z,2024-06-19T01:09:20.658Z,https://bsky.app/profile/lukesteuber.com/post/3kvajgmgy3s2u,2025-12-20 19:25:54
bluesky,this is fine,this is fine meme,at://did:plc:qkc4sccerqtqhudozrwcye3j/app.bsky.feed.post/3kvtdjxh6dl2k,marthasnoward.bsky.social,Martha Snoward,So stell ich mir die Sommerfans vor,"Meme, Comichund sitzt im brennenden Zimmer, lächelt und sagt ""This is fine""",https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:qkc4sccerqtqhudozrwcye3j/bafkreihmvtdoq6rpxzdtdhcy3okis6qwnnsc3fc5swjxdbhzx63fv3stk4@jpeg,230,33,19,2024-06-26T12:44:25.754Z,2024-06-26T12:44:25.754Z,https://bsky.app/profile/marthasnoward.bsky.social/post/3kvtdjxh6dl2k,2025-12-20 19:25:55
bluesky,this is fine,this is fine meme,at://did:plc:6zp4cfbvk6cqi7vf6gzb7ayy/app.bsky.feed.post/3kvoyrp3lvd2j,philplait.bsky.social,Phil Plait,#lolsob,"The ""this is fine"" dog sitting in a fire meme, but with it saying, ""This is the new normal"".",https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:6zp4cfbvk6cqi7vf6gzb7ayy/bafkreie6pt5hwxorrfaemaxs56kmvomhjhryz4rwchljlb2tqbgw2hqswe@jpeg,140,30,4,2024-06-24T19:21:15.004Z,2024-06-24T19:21:15.004Z,https://bsky.app/profile/philplait.bsky.social/post/3kvoyrp3lvd2j,2025-12-20 19:25:55
