platform,meme_template,search_query,post_id,author_handle,author_display,caption,alt_text,image_url,likes,reposts,replies,created_at,indexed_at,post_url,collection_timestamp
bluesky,is this a pigeon,is this a pigeon meme,at://did:plc:smlbffgldcetwrqsbbageel6/app.bsky.feed.post/3ktcd6socal2h,cathulhufhtagn.bsky.social,Cathulhu voll der schmerzen,Der Alt-Text Mob schreckt vor nichts zurück!!!!,"Das meme ""is this a pigeon?""

Der Mann ist beschriftet mit ""bluesky user"", der schmetterling ist ""kannst du bitte alt-text einfüben?"" Und als Kommentar szejt ""ist das Hass und hetze gegen mich?""",https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:smlbffgldcetwrqsbbageel6/bafkreihfpelft3g7vll5drdhhkbao7hnvtpyrnyipkjfjbzrvl7ytddy6y@jpeg,189,26,6,2024-05-25T07:32:32.530Z,2024-05-25T07:32:32.530Z,https://bsky.app/profile/cathulhufhtagn.bsky.social/post/3ktcd6socal2h,2025-12-09 11:15:38
bluesky,is this a pigeon,is this a pigeon meme,at://did:plc:eu3bpbcsudljst43n7ww44xt/app.bsky.feed.post/3kz5a6gwem22v,boyq.bsky.social,Momus Jones,I hope they have a 1 hour special dissecting the similarities and differences between a joke and disinformation.,Is this a pigeon? meme asking whether a butterfly (couch joke) is disinformation.,https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:eu3bpbcsudljst43n7ww44xt/bafkreif47obixihyezhgnnwjdrayhb2wmxmy446myaay3iwsxrtfgshw6e@jpeg,147,14,2,2024-08-07T15:26:28.681Z,2024-08-07T15:26:28.681Z,https://bsky.app/profile/boyq.bsky.social/post/3kz5a6gwem22v,2025-12-09 11:15:45
bluesky,is this a pigeon,is this a pigeon meme,at://did:plc:w3j3ii63gkvvc2f566dzjaei/app.bsky.feed.post/3kzeg5co2cf2k,galmeshrosewood.bsky.social,Galmesh Rosewood,"Is this food?
I was in a mood to do a little silly Link. It's a play on the ""Is this a pigeon?"" meme, with Link eating everything he finds. I love BOTW.",Link from BOTW looking at dubious food.,https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:w3j3ii63gkvvc2f566dzjaei/bafkreih6ibiryebi4ehw64liqklqlpcspmmxthdsukbhjsim3ypca72ej4@jpeg,280,40,5,2024-08-10T12:01:52.521Z,2024-08-10T12:01:52.521Z,https://bsky.app/profile/galmeshrosewood.bsky.social/post/3kzeg5co2cf2k,2025-12-09 11:15:46
bluesky,is this a pigeon,is this a pigeon meme,at://did:plc:25v4xkavm2l6ywhrhvxd5ulh/app.bsky.feed.post/3l6s6yw4l7x2u,haileypiperfights.bsky.social,🌈 Hailey Piper 🌈,"Remember, a first draft's only job is to exist","""is this a pigeon?"" meme, except it's a writer looking at a perfectly normal first draft and asking ""Is this the worst thing ever written?""",https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:25v4xkavm2l6ywhrhvxd5ulh/bafkreidpmyoqvcpihkv4oga5clgn7r63evga66bpxwucixjap4zzbtteym@jpeg,2712,757,23,2024-10-18T14:37:25.187Z,2024-10-18T14:37:25.014Z,https://bsky.app/profile/haileypiperfights.bsky.social/post/3l6s6yw4l7x2u,2025-12-09 11:15:53
bluesky,is this a pigeon,is this a pigeon meme,at://did:plc:meugy76uqdbjbcsapgyyus2x/app.bsky.feed.post/3l7ztubdfnf2o,kanaratron.bsky.social,Alex Kanaris-Sotiriou,When people ask me what social media platform to use.,"The famous anime image from ""is this pigeon?"" meme. A man with glasses gestures at a butterfly ",https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:meugy76uqdbjbcsapgyyus2x/bafkreib5seny3aksnhajnh7tmvqhtgawwerrql3thyhnoivgvzsde5heci@jpeg,351,45,3,2024-11-03T09:04:25.927Z,2024-11-03T09:04:26.586Z,https://bsky.app/profile/kanaratron.bsky.social/post/3l7ztubdfnf2o,2025-12-09 11:15:55
bluesky,is this a pigeon,is this a pigeon meme,at://did:plc:iddqwmrtrdipwfkzzlepq66h/app.bsky.feed.post/3lara2xgmtk2k,goblinicaart.bsky.social,GoblinicaArt💛🤍💜🖤🔞ON HIATUS,"Me- *posts drawings of very lewd cocks and tags as porn*
Bluesky-","The 'Is this a pigeon' meme, but the man is labeled as 'Bluesky', the butterfly as 'A very explicit drawing of a cock' and the text underneath says 'Is this a sexually suggestive image?",https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:iddqwmrtrdipwfkzzlepq66h/bafkreiex7xr3bnh7jnry7oa6zmh4o53npepfa3anfjgikqwaolff2hxh6e@jpeg,168,27,5,2024-11-12T16:14:09.372Z,2024-11-12T16:14:10.805Z,https://bsky.app/profile/goblinicaart.bsky.social/post/3lara2xgmtk2k,2025-12-09 11:15:55
bluesky,is this a pigeon,is this a pigeon meme,at://did:plc:xgcym7hogmuynyspcxbadt7z/app.bsky.feed.post/3lb4y2bcpos2x,nerdylittlefox.bsky.social,Tailsy,Well...is it???,"Tails ""is this a pigeon?"" meme but with Yacker.",https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:xgcym7hogmuynyspcxbadt7z/bafkreic73kghm7m23okjl4k4ibukz7n7qefqidndr5syqgrdfy72bxcb5i@jpeg,175,34,3,2024-11-17T08:22:33.098Z,2024-11-17T08:22:38.140Z,https://bsky.app/profile/nerdylittlefox.bsky.social/post/3lb4y2bcpos2x,2025-12-09 11:15:56
bluesky,is this a pigeon,is this a pigeon meme,at://did:plc:3nv22tl4e2afmevyhbegttg6/app.bsky.feed.post/3lbpllhxdlt2f,docshoddy.bsky.social,Shoddy,"""Is this a pigeon?"" meme but it's Princess Daisy.",,https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:3nv22tl4e2afmevyhbegttg6/bafkreia7u2co2nb3nwzdxfi66xkw6reehl4n3o2pbj7tuugt6lofseoizy@jpeg,296,71,1,2024-11-24T18:00:05.000Z,2024-11-24T18:00:07.854Z,https://bsky.app/profile/docshoddy.bsky.social/post/3lbpllhxdlt2f,2025-12-09 11:15:58
bluesky,is this a pigeon,is this a pigeon meme,at://did:plc:rkyy7n3zrob2x4n3jhkxsjpk/app.bsky.feed.post/3lboojfvh522g,aurelmondon.bsky.social,Aurelien Mondon,Why do I bother trying to analyse anything when it's just so obvious why things are going so wrong...,"Is this a pigeon meme: man as liberal media, politicians, academics pointing to butterfly as reactionary minority asking 'is this ""the people""?",https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:rkyy7n3zrob2x4n3jhkxsjpk/bafkreiaafm566nl5ffvr3yclcrjs7l6vcortsu6p6wzqcx7txd57sg2b7a@jpeg,417,68,2,2024-11-24T09:19:59.099Z,2024-11-24T09:20:00.756Z,https://bsky.app/profile/aurelmondon.bsky.social/post/3lboojfvh522g,2025-12-09 11:15:58
bluesky,is this a pigeon,is this a pigeon meme,at://did:plc:5g4pymss6ca4uv33t2fiwjlz/app.bsky.feed.post/3lcgsxkxem22q,shellelittle.bsky.social,Shell Little,Why can't we just automate it??? 🤡🎪🤡,"Image of the ""is this a pigeon"" meme. The meme format is a man from an anime gesturing to a butterfly and asking if it's a pigeon. The joke is he's seeing something that's clearly one thing but incorrectly interpreting it as another. This version of the meme labels the man as ""tech bros"", he gestures to the butterfly labelled ""bad auto generated all texts"" and he states ""is this accessibility?"". ",https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:5g4pymss6ca4uv33t2fiwjlz/bafkreidxqae4bg4zhu732b6mticqoou37h2toklizgjd447qujj343xb5y@jpeg,269,53,10,2024-12-03T23:43:22.852Z,2024-12-03T23:43:26.465Z,https://bsky.app/profile/shellelittle.bsky.social/post/3lcgsxkxem22q,2025-12-09 11:15:59
