platform,meme_template,search_query,post_id,author_handle,author_display,caption,alt_text,image_url,likes,reposts,replies,created_at,indexed_at,post_url,collection_timestamp
bluesky,surprised pikachu,surprised pikachu meme,at://did:plc:swgxwbir4rrimj57pf75jckf/app.bsky.feed.post/3klaiks2n3g2w,mtsw.bsky.social,mtsw,dem politicians being told that voters' views on the economy are a reflection of what people are being told over and over in the media rather than based on a material reality,"Jeff Stein
@JStein_WaPo
Talking to union workers in central Michigan today
""The economy is a reflection of what people are being told - if people hear something enough they will believe it,"" said Steve Claywell, of Michigan building trades council. He pointed at his phone & argued ppl should be happier
10:33 AM Feb 12, 2024 2,303 Views",https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:swgxwbir4rrimj57pf75jckf/bafkreigkccfechpmiq46mrjz47vmat6zv57eubgg2sa4ln6lxpnn7q6dry@jpeg,108,13,6,2024-02-12T18:41:50.659Z,2024-02-12T18:41:50.659Z,https://bsky.app/profile/mtsw.bsky.social/post/3klaiks2n3g2w,2025-12-09 10:09:54
bluesky,surprised pikachu,surprised pikachu meme,at://did:plc:xvskonkp7k7cgjfef5zsjn2s/app.bsky.feed.post/3ktnv3gubxl26,bailierosenlund.bsky.social,🌹Bailie🌹,My computer told me it was world otter day.,"a 4 panel meme format. panel 1: surprised Pickachu. Panel 2: a screenshot of a windows 11 search bar with an otter drawing in it. a pop up says ""search- world otter day"". Panel 3: surprised pikachu again, but angry eyebrows have been drawn on. Panel 4: a screenshot of the windows 11 search popup, with an article link of an AI generated otter drawing and the caption overtop "" Create AI images for world otter day""",https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:xvskonkp7k7cgjfef5zsjn2s/bafkreicfbbecg25agpq4ifnryx2tm2a6w2e2rnc24qzzofb2t3yt7zegbu@jpeg,100,17,8,2024-05-29T21:52:04.339Z,2024-05-29T21:52:04.339Z,https://bsky.app/profile/bailierosenlund.bsky.social/post/3ktnv3gubxl26,2025-12-09 10:10:05
bluesky,surprised pikachu,surprised pikachu meme,at://did:plc:u7ekhscmpnsszadqgiilxj5w/app.bsky.feed.post/3kzidmjzwwx2c,nerdskull.bsky.social,The Nerdskull,Certain people when furries get mad at them after some pretty hostile and queerphobic comments about furries.,The surprised Pikachu face meme,https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:u7ekhscmpnsszadqgiilxj5w/bafkreieg6bhiepxhx62ci7hulpuked2vdopagf5xbk2nxv4iuzeh6b6qjy@jpeg,208,32,3,2024-08-12T01:27:21.447Z,2024-08-12T01:27:21.447Z,https://bsky.app/profile/nerdskull.bsky.social/post/3kzidmjzwwx2c,2025-12-09 10:10:13
bluesky,surprised pikachu,surprised pikachu meme,at://did:plc:yawkvabzvjjwlefyn62wlk5d/app.bsky.feed.post/3lcdsmtkdc22r,ashzelda.bsky.social,✨ash zelda VA ✨,"My partner (who is directing White Christmas): I just can’t find a vintage train schedule that works as a prop… 
My autistic ass, opening photoshop to create a custom 1940’s-inspired railway schedule pamphlet with anachronistic 50’s elements to make it visually suitable as a stage prop:",Surprised Pikachu meme with glowing red eyes and superimposed text that reads *autism intensifies*,https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:yawkvabzvjjwlefyn62wlk5d/bafkreiht7nkfybvmjvv3436fdtwubdsmt3fmqv66u3xdvb6p7hk3fkb5yq@jpeg,120,5,2,2024-12-02T18:59:23.547Z,2024-12-02T18:59:25.650Z,https://bsky.app/profile/ashzelda.bsky.social/post/3lcdsmtkdc22r,2025-12-09 10:10:25
bluesky,surprised pikachu,surprised pikachu meme,at://did:plc:kd3dkivwqcao7ng5ixktmg7n/app.bsky.feed.post/3llujsxamzc2m,chocolettechoc.bsky.social,Chocolette 🍫 ♡,"FE4 remake not confirmed.
#FireEmblem #ファイアーエムブレム #shitpost",A parody of the surprised Pikachu meme using Sommie from Fire Emblem Engage.,https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:kd3dkivwqcao7ng5ixktmg7n/bafkreibnhmtwuoncg6ibnugjjhhnhjufb3a2a4fofahf2iefz67om5weoe@jpeg,125,56,4,2025-04-02T23:23:45.272Z,2025-04-02T23:23:49.402Z,https://bsky.app/profile/chocolettechoc.bsky.social/post/3llujsxamzc2m,2025-12-09 10:10:37
bluesky,surprised pikachu,surprised pikachu meme,at://did:plc:nlz6s2rcv4rixjux6avn6ezz/app.bsky.feed.post/3lnnf55dbec2i,pokemongems.bsky.social,Pokémon Gems,,Photo of a tv showing the surprised pikachu meme screenshot from the Pokémon anime ,https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:nlz6s2rcv4rixjux6avn6ezz/bafkreibtgsq5zz6thaxriztu5u75iyjhcpji3qaaaycyvgnaddmeiuq4au@jpeg,2340,442,14,2025-04-25T14:01:43.549Z,2025-04-25T14:01:48.282Z,https://bsky.app/profile/pokemongems.bsky.social/post/3lnnf55dbec2i,2025-12-09 10:10:40
bluesky,surprised pikachu,surprised pikachu meme,at://did:plc:xrr5j2okn7ew2zvcwsxus3gb/app.bsky.feed.post/3lobumobaw225,catsofyore.bsky.social,Cats of Yore,"Surprised Pikachu kitty! Photo from my collection, no documented date/info.",Black and white photo of a shorthaired tabby cat lying on a sunny lawn. Its mouth is slightly open as if meowing at the camera. Its mouth resembled a popular meme that shows a yellow Pokémon character called pikachu with a surprised expression on its face.,https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:xrr5j2okn7ew2zvcwsxus3gb/bafkreigtcvfaebnkpy2tebvtuzdj64dq257pfc2mq422jo4crwajgkbnyu@jpeg,5941,301,25,2025-05-03T17:32:05.528Z,2025-05-03T17:32:07.884Z,https://bsky.app/profile/catsofyore.bsky.social/post/3lobumobaw225,2025-12-09 10:10:41
bluesky,surprised pikachu,surprised pikachu meme,at://did:plc:u7ekhscmpnsszadqgiilxj5w/app.bsky.feed.post/3lu3xwqxdks2e,nerdskull.bsky.social,The Nerdskull,"My current prediction for the 2028 election, assuming that Republicans allow it to happen:

Democrats spend tens of millions shoving Gavin Newsom through the primary. 

He proceeds to lose the general election by a historic margin, and Democrats act shocked that LGBTQ people didn’t turn out.",Surprised pikachu face meme,https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:u7ekhscmpnsszadqgiilxj5w/bafkreifggil3whrvfca2ggmgrj7buxmnpdt3cynvfcx7wzsxsi27zgtjqm@jpeg,108,23,8,2025-07-16T17:46:36.471Z,2025-07-16T17:46:39.744Z,https://bsky.app/profile/nerdskull.bsky.social/post/3lu3xwqxdks2e,2025-12-09 10:10:48
bluesky,surprised pikachu,surprised pikachu meme,at://did:plc:nlz6s2rcv4rixjux6avn6ezz/app.bsky.feed.post/3lv6rmr7lmc2v,pokemongems.bsky.social,Pokémon Gems,,"Picture of the Pokémon anime
Showing the frame with the surprised Pikachu meme ",https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:nlz6s2rcv4rixjux6avn6ezz/bafkreib6kb333n5gbwog6wedsfe725gu4sanmxn4zbg5fp5z5jq7pkwpzy@jpeg,1033,232,8,2025-07-30T13:56:49.582Z,2025-07-30T13:56:53.808Z,https://bsky.app/profile/pokemongems.bsky.social/post/3lv6rmr7lmc2v,2025-12-09 10:10:50
bluesky,surprised pikachu,surprised pikachu meme,at://did:plc:n7n6vtfy4qrr6flqwzzgki66/app.bsky.feed.post/3lzwgsqlkjs2q,birderk.bsky.social,Birder K,"Surprised Pikachu face, birb edition. 
#birds #fall #migration","Photo of a fall plumaged Magnolia Warbler hanging on the stem of a large wild grape leaf. It is looking at the camera and its beak is open. Combined with with the white eyerings around its eyes, the bird looks like it is doing the Surprised Pikachu face meme. ",https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:n7n6vtfy4qrr6flqwzzgki66/bafkreiaqm2q5zunmec5fobyivqcrc2zbbukzbyf5ofi6edurphxcgeertq@jpeg,157,22,5,2025-09-28T21:27:59.326Z,2025-09-28T21:28:01.552Z,https://bsky.app/profile/birderk.bsky.social/post/3lzwgsqlkjs2q,2025-12-09 10:10:56
