platform,meme_template,search_query,post_id,author_handle,author_display,caption,alt_text,image_url,likes,reposts,replies,created_at,indexed_at,post_url,collection_timestamp
bluesky,expanding brain,expanding brain meme,at://did:plc:dgkjx2edqjhwxgyseaffe6px/app.bsky.feed.post/3l75l76bzlq2l,esselfortium.bsky.social,esselfortium 🏳️‍⚧️,i was looking through some of my old tweets and did a double-take when i read the last part of this one i posted in 2017,"tweeted by esselfortium on jul 21, 2017
""a guide to selecting music for your doom wads""

in expanding brain meme format:
1) leaving the music set to D_RUNNIN
2) Lady Gaga MIDI covers with saxophone vocals
3) Mexican Soap Opera Artisan Techbase Collection
4) Tracker Tunes For Homing Missiles
5) Extreme Metal Remixes For Brutal Doom
6) LCD Soundsystem - Daft Punk Is Playing At MYHOUSE.WAD",https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:dgkjx2edqjhwxgyseaffe6px/bafkreiaqi5d3doffemmngzw52b6lp4lbeul3p75eqobwlhkxnhmw7ju2fa@jpeg,108,19,3,2024-10-23T03:14:55.422Z,2024-10-23T03:14:55.422Z,https://bsky.app/profile/esselfortium.bsky.social/post/3l75l76bzlq2l,2025-12-08 23:25:06
bluesky,expanding brain,expanding brain meme,at://did:plc:2rphjhzdtfztzxtylnb2tl2t/app.bsky.feed.post/3lartn46mnu2w,enfeetamine.bsky.social,EnFéeTamine 💊,,"Meme expanding brain
Petit cerveau :Les gens qui rejoignent BS pour rebâtir twitter
Cerveau fonctionnel : Les gens qui communiquent les règles communautaires
Cerveau éclairé : Les gens qui questionnent les règles communautaires
Cerveau rayonnant : Les gens qui affranchissent des règles communautaires
Être supérieur : le fromage ",https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:2rphjhzdtfztzxtylnb2tl2t/bafkreiermybkqimomlhn4isci3frdfqgpvt6skqdbbzdvec63wo5g3rtgm@jpeg,149,32,11,2024-11-12T22:04:21.678Z,2024-11-12T22:04:20.215Z,https://bsky.app/profile/enfeetamine.bsky.social/post/3lartn46mnu2w,2025-12-08 23:25:08
bluesky,expanding brain,expanding brain meme,at://did:plc:qt62ngeqbqtq5tsqed5hxb6m/app.bsky.feed.post/3lana5cexfc2c,mbonsma.bsky.social,"Madeleine Bonsma-Fisher, PhD","Once you see it, you can't unsee it","The expanding brain meme with four levels: 
Level 1: sidewalks should be free of obstacles
Level 2: sidewalks should be flat
Level 3: curb cuts are car infrastructure
Level 4: sidewalks are car infrastructure
",https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:qt62ngeqbqtq5tsqed5hxb6m/bafkreieggtzmu62chggjofg2nwajpy54qvg75mhbb363mlzz45kkydjspm@jpeg,311,70,10,2024-11-11T02:04:49.006Z,2024-11-11T02:04:50.987Z,https://bsky.app/profile/mbonsma.bsky.social/post/3lana5cexfc2c,2025-12-08 23:25:08
bluesky,expanding brain,expanding brain meme,at://did:plc:64mdicpo7sq4k5bx2z3m2jo6/app.bsky.feed.post/3lbqflbtnn22t,catbus.phd,Catbus ☃️🎄❄️,"two paths diverged on the timeline,",diverging paths meme with one path showing the expanding brain meme and the other showing the guy putting on clown makeup ,https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:64mdicpo7sq4k5bx2z3m2jo6/bafkreihdctprm2ygrld2cfjycgryj7nrqvzls54yu6u4p5h4amep63zhma@jpeg,124,11,1,2024-11-25T01:45:17.756Z,2024-11-25T01:45:20.949Z,https://bsky.app/profile/catbus.phd/post/3lbqflbtnn22t,2025-12-08 23:25:10
bluesky,expanding brain,expanding brain meme,at://did:plc:frnxaob66yuffrqldqm45fql/app.bsky.feed.post/3lhhziba35c2s,dizfoley.bsky.social,Diz Foley,"There are 4 approaches to creating animal-human hybrids, and it starts with the base specimen.

From ______.

🐶🎨 Ludo","Expanding Brain Meme template.
1. Scratch - brain
2. an Animal - big brain
3. a Human - even bigger brain
4. You - a dog man",https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:frnxaob66yuffrqldqm45fql/bafkreihegpmo5qasijraqm6t6g6r4lnnazeoabuz3mo5gsu73v42jbsmoq@jpeg,104,10,5,2025-02-06T02:18:43.407Z,2025-02-06T02:18:46.150Z,https://bsky.app/profile/dizfoley.bsky.social/post/3lhhziba35c2s,2025-12-08 23:25:18
bluesky,expanding brain,expanding brain meme,at://did:plc:haq4hnhjn34q4lgqrzhzwyc6/app.bsky.feed.post/3llboitmpak2m,luxalptraum.com,Mean Jewish Woman Makes,With apologies/thanks to @ryannorth.ca,"Expanding brain meme

1- FEELINGS ARE SCARY
2- FEELINGS ARE THE TRUTH
3 - FEELINGS ARE A LENS THROUGH WHICH I CAN UNDERSTAND THE MEANING OF EXISTENCE
4- FEELINGS ARE BORING, KISSING IS AWESOME",https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:haq4hnhjn34q4lgqrzhzwyc6/bafkreibcjztw74neairaeqsrlfh4ya6epzotchz6zqrrzrqw6qtrcspd6y@jpeg,185,22,4,2025-03-26T11:26:59.614Z,2025-03-26T11:27:00.905Z,https://bsky.app/profile/luxalptraum.com/post/3llboitmpak2m,2025-12-08 23:25:22
bluesky,expanding brain,expanding brain meme,at://did:plc:sbgcae7sjl5cweunv7xkmv57/app.bsky.feed.post/3lloyspkhw22q,seizethememez.bsky.social,•Anti-capitalist meme pebbler•,,"The image is a meme that uses the ""expanding brain"" format, which is often used to depict a progression of thoughts or ideas. It consists of four panels:

1. Top Panel:
   - Text: ""Deeply regretting your war crimes and banning old symbols.""
   - Image: A brain overlaid with the color pattern of the German flag.

2. Second Panel:
   - Text: ""Regretting your war crimes but still using the same naval flag.""
   - Image: A brain overlaid with the color pattern of the Japanese flag.

3. Third Panel:
   - Text: ""Denying your war crimes.""
   - Image: A brain overlaid with the color pattern of the Turkish flag.

4. Bottom Panel:
   - Text: ""Being proud of your war crimes.""
   - Image: A brain overlaid with the color pattern of the United States flag, shown with an expanding and glowing effect.

Each panel represents a different attitude toward historical war crimes, with the brain imagery suggesting varying levels of cognitive engagement or awareness.",https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:sbgcae7sjl5cweunv7xkmv57/bafkreig4xwvi3ch45jucnzb3e33f44q5lbkruoyk27inzowrqjimvhfqsy@jpeg,115,27,2,2025-03-31T18:36:04.908Z,2025-03-31T18:36:06.801Z,https://bsky.app/profile/seizethememez.bsky.social/post/3lloyspkhw22q,2025-12-08 23:25:23
bluesky,expanding brain,expanding brain meme,at://did:plc:jijvbkzegf36qlwx2i7w57yw/app.bsky.feed.post/3llczuu7ecc2e,compulsoriamente.online,late 1900's kid,Vi num sub de filosofia e achei 🗣️🗣️🗣️,"A imagem é um meme no formato de ""expanding brain"", onde diferentes frases são associadas a representações de cérebros com níveis crescentes de iluminação ou complexidade.

1. A primeira linha contém a frase ""Nice boobs"" e mostra uma imagem de um cérebro com pouca iluminação.


2. A segunda linha tem a frase ""Beautiful breasts"" e um cérebro mais iluminado e detalhado.


3. A terceira linha diz ""Great honkers"" e exibe um cérebro ainda mais brilhante e energizado.


4. A última linha mostra o nome ""Epictetus - Philosopher"" junto a um cérebro completamente iluminado, representando um nível supremo de intelectualidade.


",https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:jijvbkzegf36qlwx2i7w57yw/bafkreidlk5ntplec5fntlns6dsww7v6cnldlxjou6p7bgtajmbm5wxrifa@jpeg,406,114,0,2025-03-27T00:23:13.723Z,2025-03-27T00:23:16.321Z,https://bsky.app/profile/compulsoriamente.online/post/3llczuu7ecc2e,2025-12-08 23:25:23
bluesky,expanding brain,expanding brain meme,at://did:plc:2z4lpoehbowji3eij3uacu7m/app.bsky.feed.post/3lngo2kqebk2i,imaginationarcade.itch.io,DEADWEIGHT out NOW on itch.io!,The TTRPG path to enlightenment,"Expanding brain meme:

-I can homebrew and re-skin Dungeons & Dragons 5e, repurposing its core rule set for whatever kind of game I want to run

-Actual universal systems, like GURPS, Fate, Cortex, Savage Worlds, Cypher System, etc. do not require homebrew, as their core books include character options and modular rules for any setting, genre, or time period, making them better system choices for players who want to use a single system for every game that they run

-""Universal"" systems where combat is a heavy design focus and/or an integral element of the gameplay loop often compromise on mechanical support of social encounters, making them poorly suited to run drama, diplomacy, ""cozy"", and other game modes with little to no combat, therefore they are not truly universal

-Setting/genre-specific systems are in many cases better at facilitating the story that a GM wants to tell than universal systems, because they often employ mechanisms and design choices that encourage the players to engage in a style of play that is in line with the setting or genre, creating cohesion between the narrative being created by the players at the table, and the tools that the system gives the players to create that narrative

-Reverse-engineering the process of conceptualizing your game's setting/story before finding a system to run it with, instead opting to read a system's rules with the primary goal in mind of understanding how the designers intended the system to be played and what types of stories they sought to tell with it, both maximizes your ability to pull from the toolkit of mechanisms in the game's design, and expands your storytelling ability beyond your personal inventory of tropes and touchstones you might otherwise default to, sometimes even giving you altogether new ideas for the types of stories you can/want to tell with a TTRPG

-I can homebrew and re-skin Pasión de las Pasiones, repurposing its core rule set for whatever kind of game I want to run",https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:2z4lpoehbowji3eij3uacu7m/bafkreifmspuroxmihtcxjl5g63jblgq3t5hpvtad4bexdgn7qy2c6n4suu@jpeg,182,69,9,2025-04-22T21:52:42.359Z,2025-04-22T21:52:45.786Z,https://bsky.app/profile/imaginationarcade.itch.io/post/3lngo2kqebk2i,2025-12-08 23:25:25
bluesky,expanding brain,expanding brain meme,at://did:plc:fgtmabtasnlsqfe352peikge/app.bsky.feed.post/3lndm4upquk2h,pteryxpteryx.bsky.social,Pteryx,,"""expanding brain"" meme. small brain: ""whales are fish""; second larger brain: ""whales are mammals""; third brain: ""mammals are nested phylogenetically within the lobe-finned fish which means whales are fish""; fourth and last brain: ""fish is a lifestyle like trees""",https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:fgtmabtasnlsqfe352peikge/bafkreigfe7e2jzvyiylv2m7iucq2strvgkkqyige5dfm5s7jhjyxhnkoze@jpeg,113,6,0,2025-04-21T16:40:13.348Z,2025-04-21T16:40:15.779Z,https://bsky.app/profile/pteryxpteryx.bsky.social/post/3lndm4upquk2h,2025-12-08 23:25:25
